,x,y,z,Vx,Vy,Vz,cloneOf
18882,-2332229996.556588,1095321019.85017,-841899342.2853029,-344178.9497390886,-414055.38733534777,418298.87560977397,1050
18883,-2442942654.130632,947835480.5689148,-693872096.5050137,-291693.0392312369,-436433.4213893402,435104.5875646072,1050
18884,-2535063043.017637,793136340.9618195,-540564065.0988945,-236987.1685657628,-455489.93358085473,448598.89088474057,1050
18885,-2088655132.5519834,1020769462.5173659,-712353073.0791018,-375751.32056833303,-473035.08282714617,428803.6050647966,1050
18886,-2188545455.2853713,881745944.7854874,-587103345.3090445,-318793.07098457555,-498261.5860049607,446015.8584789804,1050
18887,-2271779625.624161,736011808.0010334,-457385406.57849306,-259408.61363810627,-519696.01765470597,459833.6618984005,1050
18888,-2089465806.1373909,1011408398.558096,-723244879.261338,-375263.33256197703,-467400.15525446576,435359.9686618851,1050
18889,-2189213591.9046025,874030793.1649806,-596080095.8667536,-318285.49505235034,-492400.4714315042,452835.3956836965,1050
18890,-2272300140.3541126,730001285.6816576,-464378783.0196208,-258885.31273933875,-513653.3227014153,466864.4719148672,1050
18891,-2090288710.81923,1001906098.868375,-734012761.1567875,-374767.98200123315,-461680.2103039285,441841.7355695826,1050
18892,-2189891809.0834665,866199238.6356372,-604954711.1686646,-317770.26103148697,-486450.9268674354,459577.3418745651,1050
18893,-2272828508.38775,723900079.171482,-471292590.54690635,-258354.11650036147,-507519.45815038064,473815.287107496,1050
18894,-2091123705.5970201,992264191.6183368,-744654873.744321,-374265.3537618698,-455876.22805865546,448247.7951704977,1050
18895,-2190579990.6129394,858252623.094009,-613725670.5951324,-317247.4572046825,-480413.97173658694,466240.5418538142,1050
18896,-2273364639.191931,717709233.8808333,-478125644.5150228,-257815.11593891552,-501295.4750077158,480684.91648988676,1050
18897,-2091970647.3987055,982484328.8991516,-755169393.5527321,-373755.5339666483,-449989.20300112513,454577.04981929634,1050
18898,-2191278018.5766597,850192308.1517595,-622391471.2874119,-316717.1731516813,-474290.6404401422,472823.8539164295,1050
18899,-2273908440.903402,711429810.5791812,-484876774.1153492,-257268.40340997218,-494982.43972089083,487472.1829864097,1050
18900,-1848775722.2820709,903535375.9158973,-630540220.2002305,-410147.6010599306,-516695.9219085904,468360.94923577015,1050
18901,-1937193767.3112507,780478534.0260113,-519675265.8500142,-347934.4064375993,-544231.777661105,487145.90231466066,1050
18902,-2010868598.0616138,651481779.226364,-404855268.93817466,-283073.22089373926,-567625.7009694864,502223.3809301985,1050
18903,-1849493291.0276423,895249418.357417,-640181116.1661034,-409614.5959191785,-510541.16948663583,475522.1406100899,1050
18904,-1937785169.281615,773649457.8480353,-527621047.9168685,-347380.023603903,-537830.1713209335,494594.3137148494,1050
18905,-2011329332.3306787,646161557.8221154,-411045464.9066872,-282501.67955520866,-561025.9608007425,509902.3254480272,1050
18906,-1850221686.1436317,886838445.8141708,-649712320.3933825,-409073.54902476305,-504293.55679176317,482601.8537136107,1050
18907,-1938385494.0720387,766717347.4886351,-535476424.83336276,-346817.2764790527,-531331.9802814748,501957.9789255616,1050
18908,-2011797017.961396,640761067.1921186,-417165230.35085565,-281921.51504533965,-554326.646574223,517493.90082737454,1050
18909,-1850960782.8232853,878303899.4630046,-659132199.7592905,-408524.55308228405,-497954.1543202451,489598.87547393877,1050
18910,-1938994638.81996,759683390.7292341,-543240050.6211021,-346246.26148687117,-524738.3179743107,509235.63622067164,1050
18911,-2012271574.8182411,635281232.6826411,-423213516.6803761,-281332.82677233435,-547528.9061829327,524996.8062908811,1050
18912,-1851710454.4261925,869647241.6544992,-668439140.2159916,-407967.7021593702,-491524.0482960594,496512.0069874163,1050
18913,-1939612499.1515617,752548792.802112,-550910595.0227747,-345667.0764678378,-518050.31418953324,516426.0386110675,1050
18914,-2012752921.5883393,629722993.2351158,-429189287.5525225,-280735.7156048977,-540633.9043846923,532409.7562543205,1050
18915,-2825212656.715094,1380740534.972233,-963562096.3686696,-295425.0195652118,-370930.56651640276,336303.70048905804,1050
18916,-2960328980.9332085,1192690820.227196,-794143454.3769051,-250755.00616467994,-390763.9469515994,349844.3524913305,1050
